currentThrust,sent_time_ns,recv_time_ns,latency,drag,currentTime,totalTimestepsRun,versions,currentMassFlowRate,currentOxidiserMass,currentFuelMass,currentRocketTotalMass,netThrust,currentAcceleration,currentVelocityDelta,currentVelocity,currentAltitudeDelta,currentAltitude,requiredThrustChange
123191000.0,124739826919000,124739906207900,79288900,0.0,0,0,1,30628.52738619129,6446032.690811836,1074338.7818019725,7951371.472613809,45188045.85365853,5.683050528993097,5.683050528993097,5.683050528993097,5.683050528993097,5.683050528993097,63.31871171298348
123191000.0,124739954793100,124740034137700,79344600,21162.87234873467,1,1,1,30628.52738619129,6419779.667337958,1069963.2778896594,7920742.945227617,45467348.834968336,5.740288398370912,5.740288398370912,11.423338927364009,11.423338927364009,17.106389456357107,63.09198818503923
123191000.0,124740050285800,124740066789100,16503300,85412.61213504327,2,2,1,30628.52738619129,6393526.643864079,1065587.7739773463,7890114.417841426,45703564.948840566,5.792509782303528,5.792509782303528,17.215848709667537,17.215848709667537,34.32223816602465,62.90024031882154
123191000.0,124740163013200,124740221987200,58974000,193675.91162581768,3,3,1,30628.52738619129,6367273.620390201,1061212.270065033,7859485.890455235,45895767.50300832,5.839538125355673,5.839538125355673,23.05538683502321,23.05538683502321,57.37762500104786,62.744220354564604
123191000.0,124740258388400,124740274038500,15650100,346579.3852323482,4,4,1,30628.52738619129,6341020.596916323,1056836.76615272,7828857.3630690435,46043329.88306033,5.881232438881805,5.881232438881805,28.936619273905016,28.936619273905016,86.31424427495287,62.62443694502006
123191000.0,124740354175900,124740413718800,59542900,544436.0057446223,5,5,1,30628.52738619129,6314767.573442444,1052461.2622404068,7798228.835682852,46145939.1162066,5.917489738830655,5.917489738830655,34.85410901273567,34.85410901273567,121.16835328768855,62.54114414510265
123191000.0,124740426212700,124740441755400,15542700,787235.7079968007,6,6,1,30628.52738619129,6288514.549968566,1048085.7583280938,7767600.308296661,46203605.26761295,5.948247004710368,5.948247004710368,40.80235601744604,40.80235601744604,161.9707093051346,62.49433378443803
123191000.0,124740546087900,124740606003300,59915400,1074640.4397494195,7,7,1,30628.52738619129,6262261.526494687,1043710.2544157808,7736971.78091047,46216666.38951887,5.973482610282986,5.973482610282986,46.77583862772902,46.77583862772902,208.74654793286362,62.483731449928264
123191000.0,124740654225800,124740669629400,15403600,1405983.834658426,8,8,1,30628.52738619129,6236008.503020809,1039334.7505034677,7706343.253524278,46185788.84826839,5.993217188599356,5.993217188599356,52.769055816328375,52.769055816328375,261.515603749192,62.508796220285255
123191000.0,124740738152500,124740810045300,71892800,1780275.5691828388,9,9,1,30628.52738619129,6209755.479546931,1034959.2465911547,7675714.726138087,46111962.967402525,6.007513907516339,6.007513907516339,58.776569723844716,58.776569723844716,320.2921734730367,62.56872420274004
123191000.0,124740886231800,124740929931600,43699800,2196210.348340471,10,10,1,30628.52738619129,6183502.456073052,1030583.7426788417,7645086.198751896,45996494.04190343,6.016478146369706,6.016478146369706,64.79304787021442,64.79304787021442,385.08522134325113,62.66245582720861
123191000.0,124740974498200,124740977473200,2975000,2652181.3488092422,11,11,1,30628.52738619129,6157249.432599174,1026208.2387665287,7614457.671365704,45840988.89509319,6.020256579464483,6.020256579464483,70.81330444967891,70.81330444967891,455.89852579293006,62.788686758697324
123191000.0,124741091092600,124741147761400,56668800,3146297.8364813365,12,12,1,30628.52738619129,6130996.4091252955,1021832.7348542156,7583829.143979513,45647338.26107964,6.019035686915121,6.019035686915121,76.83234013659403,76.83234013659403,532.730865929524,62.94588219831024
123191000.0,124741274432600,124741302825900,28393300,3676406.573490233,13,13,1,30628.52738619129,6104743.385651417,1017457.2309419026,7553200.616593322,45417695.37772928,6.013039727549799,6.013039727549799,82.84537986414382,82.84537986414382,615.5762457936679,63.132294260352396
123191000.0,124741410854500,124741458674700,47820200,4240116.540785224,14,14,1,30628.52738619129,6078490.362177539,1013081.7270295896,7522572.0892071305,45154451.26409282,6.0025282215476965,6.0025282215476965,88.84790808569151,88.84790808569151,704.4241538793594,63.3459820408205
123191000.0,124741569454600,124741585281600,15827000,4834826.429714125,15,15,1,30628.52738619129,6052237.33870366,1008706.2231172766,7491943.561820939,44860207.228822455,5.98779300172932,5.98779300172932,94.83570108742083,94.83570108742083,799.2598549667803,63.584833933629525
123191000.0,124741710474700,124741742498500,32023800,5457754.302172077,16,16,1,30628.52738619129,6025984.315229782,1004330.7192049635,7461315.034434748,44537745.210023046,5.969154901579239,5.969154901579239,100.80485598900007,100.80485598900007,900.0647109557804,63.8465917071677
123191000.0,124741895374400,124741927779900,32405500,6105968.785145606,17,17,1,30628.52738619129,5999731.2917559035,999955.2152926505,7430686.507048557,44189996.58070805,5.9469601548646365,5.9469601548646365,106.75181614386472,106.75181614386472,1006.8165270996451,64.12887582639311
123191000.0,124742039869000,124742071682400,31813400,6776421.152425291,18,18,1,30628.52738619129,5973478.268282025,995579.7113803375,7400057.979662365,43820010.067086905,5.921576585956187,5.921576585956187,112.6733927298209,112.6733927298209,1119.489919829466,64.42921149508737
123191000.0,124742195691100,124742227531500,31840400,7465977.653429087,19,19,1,30628.52738619129,5947225.244808147,991204.2074680245,7369429.452276174,43430919.419741645,5.893389671615251,5.893389671615251,118.56678240143616,118.56678240143616,1238.0567022309021,64.74505489870067
