currentTimestep,currentTime,totalTimestepsRun,versions,sent_time_ns,recv_time_ns,latency,currentThrust,drag,currentMassFlowRate,currentOxidiserMass,currentFuelMass,currentRocketTotalMass,netThrust,currentAcceleration,currentVelocityDelta,currentVelocity,currentAltitudeDelta,currentAltitude,requiredThrustChange
1,1,1,1,125803639254900,125803654192400,14937500,123191000.0,21162.87234873467,30628.52738619129,6446032.690811836,1074338.7818019725,7951371.472613809,45188045.85365853,5.683050528993097,5.683050528993097,5.683050528993097,5.683050528993097,5.683050528993097,63.31871171298348
2,2,2,1,125803762624500,125803809706900,47082400,123191000.0,85412.61213504327,30628.52738619129,6419779.667337958,1069963.2778896594,7920742.945227617,45467348.834968336,5.740288398370912,5.740288398370912,11.423338927364009,11.423338927364009,17.106389456357107,63.09198818503923
3,3,3,1,125803890677300,125803921656600,30979300,123191000.0,193675.91162581768,30628.52738619129,6393526.643864079,1065587.7739773463,7890114.417841426,45703564.948840566,5.792509782303528,5.792509782303528,17.215848709667537,17.215848709667537,34.32223816602465,62.90024031882154
4,4,4,1,125804042782100,125804057573400,14791300,123191000.0,346579.3852323482,30628.52738619129,6341020.596916323,1056836.76615272,7828857.3630690435,45895767.50300832,5.839538125355673,5.839538125355673,23.05538683502321,23.05538683502321,57.37762500104786,62.744220354564604
5,5,5,1,125804197405000,125804223091000,25686000,123191000.0,544436.0057446223,30628.52738619129,6314767.573442444,1052461.2622404068,7798228.835682852,46145939.1162066,5.917489738830655,5.917489738830655,34.85410901273567,34.85410901273567,121.16835328768855,62.54114414510265
6,6,6,1,125804326630000,125804354409900,27779900,123191000.0,787235.7079968007,30628.52738619129,6288514.549968566,1048085.7583280938,7767600.308296661,46203605.26761295,5.948247004710368,5.948247004710368,40.80235601744604,40.80235601744604,161.9707093051346,62.49433378443803
7,7,7,1,125804478498000,125804494181800,15683800,123191000.0,1074640.4397494195,30628.52738619129,6262261.526494687,1043710.2544157808,7736971.78091047,46216666.38951887,5.973482610282986,5.973482610282986,46.77583862772902,46.77583862772902,208.74654793286362,62.483731449928264
8,8,8,1,125804606773900,125804622328800,15554900,123191000.0,1405983.834658426,30628.52738619129,6236008.503020809,1039334.7505034677,7706343.253524278,46185788.84826839,5.993217188599356,5.993217188599356,52.769055816328375,52.769055816328375,261.515603749192,62.508796220285255
9,9,9,1,125804726918900,125804758232300,31313400,123191000.0,1780275.5691828388,30628.52738619129,6209755.479546931,1034959.2465911547,7675714.726138087,46111962.967402525,6.007513907516339,6.007513907516339,58.776569723844716,58.776569723844716,320.2921734730367,62.56872420274004
10,10,10,1,125804919164900,125804966233500,47068600,123191000.0,2652181.3488092422,30628.52738619129,6183502.456073052,1030583.7426788417,7645086.198751896,45996494.04190343,6.016478146369706,6.016478146369706,64.79304787021442,64.79304787021442,385.08522134325113,62.66245582720861
12,12,12,1,125805044209600,125805059111000,14901400,123191000.0,3146297.8364813365,30628.52738619129,6157249.432599174,1026208.2387665287,7614457.671365704,45840988.89509319,6.020256579464483,6.020256579464483,70.81330444967891,70.81330444967891,455.89852579293006,62.788686758697324
13,13,13,1,125805184718700,125805216456600,31737900,123191000.0,3676406.573490233,30628.52738619129,6104743.385651417,1017457.2309419026,7553200.616593322,45647338.26107964,6.019035686915121,6.019035686915121,76.83234013659403,76.83234013659403,532.730865929524,62.94588219831024
14,14,14,1,125805328284900,125805344315400,16030500,123191000.0,4240116.540785224,30628.52738619129,6078490.362177539,1013081.7270295896,7522572.0892071305,45154451.26409282,6.0025282215476965,6.0025282215476965,88.84790808569151,88.84790808569151,704.4241538793594,63.3459820408205
15,15,15,1,125805488138100,125805504032200,15894100,123191000.0,4834826.429714125,30628.52738619129,6052237.33870366,1008706.2231172766,7491943.561820939,44860207.228822455,5.98779300172932,5.98779300172932,94.83570108742083,94.83570108742083,799.2598549667803,63.584833933629525
16,16,16,1,125805604068300,125805631798800,27730500,123191000.0,5457754.302172077,30628.52738619129,6025984.315229782,1004330.7192049635,7461315.034434748,44537745.210023046,5.969154901579239,5.969154901579239,100.80485598900007,100.80485598900007,900.0647109557804,63.8465917071677
17,17,17,1,125805737941100,125805769774500,31833400,123191000.0,6105968.785145606,30628.52738619129,5999731.2917559035,999955.2152926505,7430686.507048557,44189996.58070805,5.9469601548646365,5.9469601548646365,106.75181614386472,106.75181614386472,1006.8165270996451,64.12887582639311
19,19,19,1,125805906923800,125805921397100,14473300,123191000.0,7465977.653429087,30628.52738619129,5973478.268282025,995579.7113803375,7400057.979662365,43820010.067086905,5.921576585956187,5.921576585956187,112.6733927298209,112.6733927298209,1119.489919829466,64.42921149508737
20,20,20,1,125806006451000,125806084479900,78028900,123191000.0,8171451.47514789,30628.52738619129,5947225.244808147,991204.2074680245,7369429.452276174,43430919.419741645,5.893389671615251,5.893389671615251,118.56678240143616,118.56678240143616,1238.0567022309021,64.74505489870067
21,21,21,1,125806164537500,125806190858000,26320500,123191000.0,8889633.76611934,30628.52738619129,5920972.221334268,986828.7035557114,7338800.924889983,43025911.451681376,5.862798554155683,5.862798554155683,124.42958095559185,124.42958095559185,1362.486283186494,65.07381914938479
22,22,22,1,125806313482400,125806376306800,62824400,123191000.0,9617323.208385415,30628.52738619129,5894719.19786039,982453.1996433984,7308172.397503791,42608195.01436847,5.830212082698253,5.830212082698253,130.2597930382901,130.2597930382901,1492.746076224784,65.41289946962969
23,23,23,1,125806465665000,125806476076200,10411200,123191000.0,10351353.691514004,30628.52738619129,5868466.174386512,978077.6957310854,7277543.8701176,42180971.42576092,5.7960449539796866,5.7960449539796866,136.05583799226977,136.05583799226977,1628.8019142170538,65.75969719722957
24,24,24,1,125806585190100,125806703856700,118666600,123191000.0,11088619.718663493,30628.52738619129,5842213.150912633,973702.1918187723,7246915.342731409,41747406.796290874,5.760714017193971,5.760714017193971,141.81655200946375,141.81655200946375,1770.6184662265175,66.11164224960356
25,25,25,1,125806732941800,125806803799900,70858100,123191000.0,11826099.255010616,30628.52738619129,5815960.127438755,969326.6879064593,7216286.8153452175,41310606.622799926,5.724634799015217,5.724634799015217,147.54118680847895,147.54118680847895,1918.1596530349964,66.4662137471082
26,26,26,1,125806912045500,125806959882500,47837000,123191000.0,12560873.810445054,30628.52738619129,5763454.080490998,960575.6800818333,7155029.760572835,40873592.940111324,5.688218295685312,5.688218295685312,153.22940510416427,153.22940510416427,2071.3890581391606,66.82095856019407
27,27,27,1,125807075778600,125807119290800,43512200,123191000.0,13290145.628340848,30628.52738619129,5737201.05701712,956200.1761695202,7124401.233186644,40010478.27409818,5.6159776751094155,5.6159776751094155,164.49725084852653,164.49725084852653,2394.767582161104,67.52158982872272
28,28,28,1,125807207492200,125807215182200,7690000,123191000.0,14011251.927912684,30628.52738619129,5710948.033543241,951824.6722572072,7093772.705800452,39589837.82818487,5.5809284382361115,5.5809284382361115,170.07817928676263,170.07817928676263,2564.8457614478666,67.86304370596483
29,29,29,1,125807399349600,125807431236400,31886800,123191000.0,14721676.217083063,30628.52738619129,5684695.010069363,947449.1683448942,7063144.178414261,39179879.39267303,5.547087586348728,5.547087586348728,175.62526687311137,175.62526687311137,2740.471028320978,68.19582648677823
30,30,30,1,125807541888200,125807573659600,31771400,123191000.0,15419056.754360065,30628.52738619129,5658441.986595484,943073.6644325812,7032515.65102807,38782964.709054574,5.514806739660077,5.514806739660077,181.14007361277146,181.14007361277146,2921.6111019337495,68.51802103314806
31,31,31,1,125807686725300,125807702789900,16064600,123191000.0,16101192.290891014,30628.52738619129,5632188.963121606,938698.1605202681,7001887.123641878,38401295.02618215,5.484420749446266,5.484420749446266,186.62449436221772,186.62449436221772,3108.2355962959673,68.82784048657601
32,32,32,1,125807862729900,125807910447700,47717800,123191000.0,16766045.267046994,30628.52738619129,5605935.939647728,934322.6566079551,6971258.596255687,38036907.90368471,5.456246871133802,5.456246871133802,192.08074123335152,192.08074123335152,3300.316337529319,69.12363086290013
33,33,33,1,125808023152000,125808038341300,15189300,123191000.0,17411742.67147129,30628.52738619129,5579682.916173849,929947.1526956421,6940630.068869496,37691676.35291896,5.430584252282194,5.430584252282194,197.5113254856337,197.5113254856337,3497.8276630149526,69.40387174962542
34,34,34,1,125808179864000,125808211583300,31719300,123191000.0,18036574.794745408,30628.52738619129,5553429.892699971,925571.6487833291,6910001.541483304,37367310.08330337,5.407713711635741,5.407713711635741,202.91903919726946,202.91903919726946,3700.746702212222,69.66717529421518
