,currentTimestep,currentTime,totalTimestepsRun,versions,sent_time_ns,recv_time_ns,latency,currentThrust,drag,currentMassFlowRate,currentOxidiserMass,currentFuelMass,currentRocketTotalMass,netThrust,currentAcceleration,currentVelocityDelta,currentVelocity,currentAltitudeDelta,currentAltitude,requiredThrustChange,pressure,temperature,density
17,18,18,18,1,220159538006500,220159679174800,141168300,123191000.0,6776421.152425291,30628.52738619129,5973478.268282025,995579.7113803375,7400057.979662365,44189996.58070805,5.9469601548646365,5.9469601548646365,106.75181614386472,106.75181614386472,1006.8165270996451,64.12887582639311,89.88383225481743,8.505760739123303,1.112524278974248
18,19,19,19,1,220159741192100,220159818588900,77396800,123191000.0,7465977.653429087,30628.52738619129,5947225.244808147,991204.2074680245,7369429.452276174,43820010.067086905,5.921576585956187,5.921576585956187,112.6733927298209,112.6733927298209,1119.489919829466,64.42921149508737,88.66382678789265,7.774510420306764,1.1002809534675444
19,20,20,20,1,220159943583600,220159974268000,30684400,123191000.0,8171451.47514789,30628.52738619129,5920972.221334268,986828.7035557114,7338800.924889983,43430919.419741645,5.893389671615251,5.893389671615251,118.56678240143616,118.56678240143616,1238.0567022309021,64.74505489870067,87.39452335463395,7.005012002521443,1.0875088252522724
20,21,21,21,1,220160099752000,220160115341100,15589100,123191000.0,8889633.76611934,30628.52738619129,5894719.19786039,982453.1996433984,7308172.397503791,43025911.451681376,5.862798554155683,5.862798554155683,124.42958095559185,124.42958095559185,1362.486283186494,65.07381914938479,86.07832066527959,6.197464022119654,1.0742274478601792
21,22,22,22,1,220160272652800,220160288387600,15734800,123191000.0,9617323.208385415,30628.52738619129,5868466.174386512,978077.6957310854,7277543.8701176,42608195.01436847,5.830212082698253,5.830212082698253,130.2597930382901,130.2597930382901,1492.746076224784,65.41289946962969,84.71769053545503,5.3520779653011505,1.0604570816929906
22,23,23,23,1,220160412079900,220160427900400,15820500,123191000.0,10351353.691514004,30628.52738619129,5842213.150912633,973702.1918187723,7246915.342731409,42180971.42576092,5.7960449539796866,5.7960449539796866,136.05583799226977,136.05583799226977,1628.8019142170538,65.75969719722957,83.31516618319885,4.469075576731321,1.0462186020807664
23,24,24,24,1,220160553691800,220160616190000,62498200,123191000.0,11088619.718663493,30628.52738619129,5815960.127438755,969326.6879064593,7216286.8153452175,41747406.796290874,5.760714017193971,5.760714017193971,141.81655200946375,141.81655200946375,1770.6184662265175,66.11164224960356,81.87333070810578,3.5486861541899,1.0315334084626397
24,25,25,25,1,220160678178600,220160709834500,31655900,123191000.0,11826099.255010616,30628.52738619129,5789707.103964876,964951.1839941463,7185658.287959026,41310606.622799926,5.724634799015217,5.724634799015217,147.54118680847895,147.54118680847895,1918.1596530349964,66.4662137471082,80.394805855817,2.5911438518028724,1.016423335532123
25,26,26,26,1,220160834581600,220160866576700,31995100,123191000.0,12560873.810445054,30628.52738619129,5763454.080490998,960575.6800818333,7155029.760572835,40873592.940111324,5.688218295685312,5.688218295685312,153.22940510416427,153.22940510416427,2071.3890581391606,66.82095856019407,78.8822411597455,1.596685012676847,1.0009105671045613
26,27,27,27,1,220160991455800,220161022021700,30565900,123191000.0,13290145.628340848,30628.52738619129,5737201.05701712,956200.1761695202,7124401.233186644,40439284.23833543,5.651868069252845,5.651868069252845,158.88127317341713,158.88127317341713,2230.2703313125776,67.17350761148506,77.33830353977349,0.5655455497813708,0.9850175533725508
27,28,28,28,1,220161163191500,220161195356500,32165000,123191000.0,14011251.927912684,30628.52738619129,5710948.033543241,951824.6722572072,7093772.705800452,39589837.82818487,5.5809284382361115,5.5809284382361115,170.07817928676263,170.07817928676263,2564.8457614478666,67.86304370596483,74.1670054552416,-1.6058489917966554,0.9521814543583808
