,,,netThrust,currentAcceleration,currentVelocityDelta,currentVelocity,currentAltitudeDelta,currentAltitude,requiredThrustChange,currentTimestep,sent_time_ns,recv_time_ns,latency
'2.48',2,48,35565980.1,5.461748288,5.461748288,272.7084482,272.7084482,6820.424095,71.12940061,1,,,
'2.49',2,49,35635330.23,5.49825933,5.49825933,278.2067075,278.2067075,7098.630803,71.0731058,1,,,
'2.50',2,50,35736090.76,5.539986489,5.539986489,283.746694,283.746694,7382.377497,70.99131369,1,,,
'2.51',2,51,35868339,5.587016465,5.587016465,289.3337105,289.3337105,7671.711207,70.88396149,1,,,
'2.52',2,52,36032117.47,5.639432174,5.639432174,294.9731427,294.9731427,7966.68435,70.75101471,1,,,
'2.53',2,53,36227439.21,5.697313493,5.697313493,300.6704562,300.6704562,8267.354806,70.59246275,1,,,
'2.54',2,54,36454292.5,5.76073793,5.76073793,306.4311941,306.4311941,8573.786,70.40831513,1,,,
'2.55',2,55,36712644.76,5.829781192,5.829781192,312.2609753,312.2609753,8886.046976,70.1985983,1,,,
'2.56',2,56,37002445.79,5.904517654,5.904517654,318.1654929,318.1654929,9204.212469,69.96335301,1,,,
'2.57',2,57,37323630.28,5.985020727,5.985020727,324.1505137,324.1505137,9528.362982,69.70263227,1,,,
'2.58',2,58,37676119.53,6.071363116,6.071363116,330.2218768,330.2218768,9858.584859,69.41649996,1,,,
'2.59',2,59,38059822.45,6.163616962,6.163616962,336.3854937,336.3854937,10194.97035,69.10503004,1,,,
'2.60',2,60,63215995.56,10.34012315,10.34012315,353.0985642,353.0985642,10898.45938,48.6845666,60,,,
'2.61',2,61,38920443.8,6.366144811,6.366144811,349.0134924,349.0134924,10886.63119,68.40642271,1,,,
'2.62',2,62,39397116.59,6.476559898,6.476559898,355.4900523,355.4900523,11242.12125,68.01948471,1,,,
'2.63',2,63,40049166.51,6.617068955,6.617068955,362.1071213,362.1071213,11604.22837,67.49018475,1,,,
'2.64',2,64,40819454.48,6.77864244,6.77864244,368.8857637,368.8857637,11973.11413,66.86490533,1,,,
'2.65',2,65,41599996.32,6.943579453,6.943579453,375.8293432,375.8293432,12348.94347,66.23130235,1,,,
'2.66',2,66,42390474.85,7.111878632,7.111878632,382.9412218,382.9412218,12731.88469,65.58963329,1,,,
'2.67',2,67,43190525.65,7.283530617,7.283530617,390.2247524,390.2247524,13122.10945,64.94019397,1,,,
'2.68',2,68,43999736.07,7.458517685,7.458517685,397.6832701,397.6832701,13519.79272,64.28331934,1,,,
'2.69',2,69,44817644.54,7.636813403,7.636813403,405.3200835,405.3200835,13925.1128,63.6193841,1,,,
'2.70',2,70,45643740.08,7.818382319,7.818382319,413.1384658,413.1384658,14338.25127,62.94880301,1,,,
'2.71',2,71,46477462.09,8.00317969,8.00317969,421.1416455,421.1416455,14759.39291,62.27203116,1,,,
'2.72',2,72,47318200.41,8.191151243,8.191151243,429.3327967,429.3327967,15188.72571,61.58956384,1,,,
'2.73',2,73,48165295.75,8.382233003,8.382233003,437.7150297,437.7150297,15626.44074,60.90193622,1,,,
'2.74',2,74,49018040.54,8.57635117,8.57635117,446.2913809,446.2913809,16072.73212,60.20972267,1,,,
'2.75',2,75,49875680.12,8.773422074,8.773422074,455.064803,455.064803,16527.79692,59.51353579,1,,,
'2.76',2,76,50737414.41,8.973352197,8.973352197,464.0381552,464.0381552,16991.83508,58.81402504,1,,,
'2.77',2,77,51602400.03,9.176038287,9.176038287,473.2141935,473.2141935,17465.04927,58.11187503,1,,,
'2.78',2,78,52469752.95,9.38136756,9.38136756,482.595561,482.595561,17947.64483,57.40780337,1,,,
'2.79',2,79,53338551.6,9.589217999,9.589217999,492.184779,492.184779,18439.82961,56.70255814,1,,,
'2.80',2,80,54910339.05,10.03760771,10.03760771,516.9969605,516.9969605,19377.70859,55.42666343,80,,,
'2.81',2,81,55076634.55,10.01195068,10.01195068,511.9961885,511.9961885,19453.81004,55.29167346,1,,,
'2.82',2,82,55943923.46,10.2265469,10.2265469,522.2227354,522.2227354,19976.03277,54.58765375,1,,,
'2.83',2,83,56808677.21,10.44309362,10.44309362,532.665829,532.665829,20508.6986,53.88569196,1,,,
'2.84',2,84,57669851.55,10.66143091,10.66143091,543.3272599,543.3272599,21052.02586,53.18663576,1,,,
'2.85',2,85,58526394.13,10.88139373,10.88139373,554.2086536,554.2086536,21606.23452,52.49133936,1,,,
'2.86',2,86,59377251.04,11.10281291,11.10281291,565.3114665,565.3114665,22171.54598,51.80065829,1,,,
'2.87',2,87,60221373.58,11.32551641,11.32551641,576.6369829,576.6369829,22748.18296,51.11544384,1,,,
'2.88',2,88,61057725.4,11.54933051,11.54933051,588.1863135,588.1863135,23336.36928,50.43653725,1,,,
'2.89',2,89,61885289.78,11.77408121,11.77408121,599.9603947,599.9603947,23936.32967,49.76476384,1,,,
'2.90',2,90,62703077.04,11.99959556,11.99959556,611.9599902,611.9599902,24548.28966,49.10092698,1,,,
'2.91',2,91,63510131.97,12.2257032,12.2257032,624.1856934,624.1856934,25172.47536,48.44580207,1,,,
'2.92',2,92,64453548.35,12.48089818,12.48089818,636.6665916,636.6665916,25809.14195,47.67998608,1,,,
'2.93',2,93,65288954.85,12.71809831,12.71809831,649.3846899,649.3846899,26458.52664,47.00184685,1,,,
'2.94',2,94,66097618.75,12.95290523,12.95290523,662.3375951,662.3375951,27120.86423,46.34541586,1,,,
'2.95',2,95,66880257.7,13.18541705,13.18541705,675.5230122,675.5230122,27796.38725,45.71011056,1,,,
'2.96',2,96,67637589.09,13.41573424,13.41573424,688.9387464,688.9387464,28485.32599,45.09534861,1,,,
'2.97',2,97,68370335.37,13.64396074,13.64396074,702.5827072,702.5827072,29187.9087,44.50054357,1,,,
'2.98',2,98,69079227.75,13.87020478,13.87020478,716.4529119,716.4529119,29904.36161,43.92510188,1,,,
'2.99',2,99,69765008.68,14.09457956,14.09457956,730.5474915,730.5474915,30634.9091,43.36842084,1,,,
'2.100',2,100,75234630.51,15.39006693,15.39006693,766.9676774,766.9676774,32179.43656,38.92846839,100,,,
'2.101',2,101,71070268.27,14.53820107,14.53820107,759.4028962,759.4028962,32139.17669,42.30887949,1,,,
'2.102',2,102,71691293.91,14.75770157,14.75770157,774.1605978,774.1605978,32913.33729,41.8047634,1,,,
'2.103',2,103,72292300.04,14.97584031,14.97584031,789.1364381,789.1364381,33702.47373,41.31689812,1,,,
'2.104',2,104,72874085.42,15.19275773,15.19275773,804.3291958,804.3291958,34506.80293,40.84463523,1,,,
'2.105',2,105,73437455.08,15.40859921,15.40859921,819.737795,819.737795,35326.54072,40.38732125,1,,,
'2.106',2,106,73983217.61,15.62351461,15.62351461,835.3613096,835.3613096,36161.90203,39.94429982,1,,,
'2.107',2,107,74512182.22,15.83765784,15.83765784,851.1989675,851.1989675,37013.101,39.51491406,1,,,
'2.108',2,108,75025155.64,16.05118632,16.05118632,867.2501538,867.2501538,37880.35115,39.09850911,1,,,
'2.109',2,109,75522939.03,16.26426043,16.26426043,883.5144142,883.5144142,38763.86557,38.69443464,1,,,
'2.110',2,110,76006324.92,16.47704291,16.47704291,899.9914571,899.9914571,39663.85702,38.30204729,1,,,
'2.111',2,111,76476094.26,16.68969836,16.68969836,916.6811555,916.6811555,40580.53818,37.92071315,1,,,
'2.112',2,112,76933013.57,16.90239261,16.90239261,933.5835481,933.5835481,41514.12173,37.54981,1,,,
'2.113',2,113,77377832.37,17.11529224,17.11529224,950.6988403,950.6988403,42464.82057,37.1887294,1,,,
'2.114',2,114,77811280.83,17.32856405,17.32856405,968.0274044,968.0274044,43432.84797,36.83687865,1,,,
'2.115',2,115,78234067.6,17.54237463,17.54237463,985.569779,985.569779,44418.41775,36.49368249,1,,,
'2.116',2,116,78646878.05,17.75688989,17.75688989,1003.326669,1003.326669,45421.74442,36.1585846,1,,,
'2.117',2,117,79050372.66,17.97227471,17.97227471,1021.298944,1021.298944,46443.04336,35.83104881,1,,,
'2.118',2,118,79445185.81,18.18869262,18.18869262,1039.487636,1039.487636,47482.531,35.51056018,1,,,
'2.119',2,119,79831924.77,18.40630552,18.40630552,1057.893942,1057.893942,48540.42494,35.19662575,1,,,
'2.120',2,120,80211168.99,18.62527346,18.62527346,1076.519215,1076.519215,49616.94416,34.88877516,1,,,
'2.121',2,121,80583469.67,18.84575448,18.84575448,1095.36497,1095.36497,50712.30913,34.58656097,1,,,
'2.122',2,122,80949349.57,19.06790444,19.06790444,1114.432874,1114.432874,51826.742,34.28955884,1,,,
'3.20',3,20,43430919.42,5.893389672,5.893389672,118.5667824,118.5667824,1238.056702,64.7450549,20,1.30821E+14,1.30821E+14,31690000
'3.21',3,21,50361320.04,6.83381534,6.83381534,125.4005977,125.4005977,1363.4573,59.11931875,20,,,
